,game_id,round,p1,p2,winner,model_choice,model0,model1,model2,model3,model4,model5,timestamp,ip_address
290,14,5,0,0,0,4,2,2,0,1,0,2,2020-12-16 04:08:45.661375,10.41.198.134
291,14,6,1,0,1,2,2,1,0,2,1,1,2020-12-16 04:08:47.279363,10.41.198.134
292,14,7,1,1,0,3,0,0,0,1,1,2,2020-12-16 04:08:48.625386,10.41.198.134
293,14,8,2,1,1,3,0,2,0,1,0,1,2020-12-16 04:08:49.998330,10.41.198.134
294,14,9,2,2,0,4,1,1,0,1,2,1,2020-12-16 04:08:51.215128,10.41.198.134
295,14,10,0,2,1,4,1,0,0,1,2,0,2020-12-16 04:08:53.050321,10.41.198.134
296,14,11,0,0,0,2,2,2,0,1,0,2,2020-12-16 04:08:54.472226,10.41.198.134
297,14,12,1,2,2,3,2,1,0,2,1,1,2020-12-16 04:08:55.801020,10.41.198.134
298,14,13,1,1,0,3,0,0,0,1,2,1,2020-12-16 04:08:57.096177,10.41.198.134
299,14,14,2,1,1,3,0,2,0,1,1,0,2020-12-16 04:08:59.448442,10.41.198.134
300,14,15,2,1,1,0,1,1,0,1,2,2,2020-12-16 04:09:01.394441,10.41.198.134
301,14,16,0,0,0,2,1,0,0,1,0,0,2020-12-16 04:09:03.158380,10.41.198.134
302,14,17,0,0,0,2,2,2,0,1,0,2,2020-12-16 04:09:05.127286,10.41.198.134
303,14,18,1,2,2,3,2,1,0,2,2,1,2020-12-16 04:09:06.888744,10.41.198.134
304,14,19,1,1,0,3,0,0,0,1,2,1,2020-12-16 04:09:08.656963,10.41.198.134
305,14,20,2,1,1,3,0,2,0,1,2,0,2020-12-16 04:09:10.177608,10.41.198.134
306,14,21,2,0,2,4,1,1,0,1,0,1,2020-12-16 04:09:11.662271,10.41.198.134
307,14,22,0,0,0,4,1,0,0,1,0,0,2020-12-16 04:09:13.675825,10.41.198.134
308,14,23,0,0,0,4,2,2,0,1,0,2,2020-12-16 04:09:15.182043,10.41.198.134
309,14,24,1,1,0,4,2,1,0,2,1,0,2020-12-16 04:09:17.044439,10.41.198.134
310,14,25,1,1,0,3,0,0,0,1,2,1,2020-12-16 04:09:19.019645,10.41.198.134
311,14,26,2,1,1,4,0,2,0,1,1,1,2020-12-16 04:09:20.903550,10.41.198.134
312,14,27,2,2,0,4,1,1,0,1,2,2,2020-12-16 04:09:23.153893,10.41.198.134
313,14,28,0,0,0,4,1,0,0,1,0,0,2020-12-16 04:09:26.389710,10.41.198.134
314,14,29,0,1,2,4,2,2,0,1,1,2,2020-12-16 04:09:28.182936,10.41.198.134
315,14,30,1,1,0,4,2,1,0,2,1,1,2020-12-16 04:09:29.943182,10.41.198.134
316,14,31,1,1,0,3,0,0,0,1,2,2,2020-12-16 04:09:31.734305,10.41.198.134
317,14,32,2,2,0,4,0,2,0,1,2,2,2020-12-16 04:09:33.798853,10.41.198.134
318,14,33,2,0,2,4,1,1,0,1,0,0,2020-12-16 04:09:35.737170,10.41.198.134
319,14,34,0,0,0,4,1,0,0,1,0,0,2020-12-16 04:09:38.299338,10.41.198.134
320,14,35,0,1,2,4,2,2,0,1,1,2,2020-12-16 04:09:40.588140,10.41.198.134
321,14,36,0,1,2,4,2,1,0,2,1,1,2020-12-16 04:09:45.672982,10.41.198.134
322,14,37,2,2,0,4,1,1,0,2,2,2,2020-12-16 04:09:50.673605,10.41.198.134
323,14,38,2,1,1,4,1,0,0,2,1,0,2020-12-16 04:09:56.099155,10.41.198.134
324,15,0,1,2,2,0,2,0,0,0,0,0,2020-12-16 18:54:43.000000,10.61.189.68
325,15,1,2,0,2,0,0,0,2,2,0,0,2020-12-16 18:54:46.644700,10.61.189.68
326,15,2,2,1,1,0,1,1,0,2,0,0,2020-12-16 18:54:48.372360,10.61.189.68
327,15,3,2,0,2,2,1,0,0,2,0,0,2020-12-16 18:54:50.839043,10.61.189.68
328,15,4,1,0,1,2,0,0,0,2,0,0,2020-12-16 18:54:52.803503,10.61.189.68
329,15,5,1,0,1,4,0,2,0,2,0,2,2020-12-16 18:54:54.274427,10.61.189.68
330,15,6,0,1,2,5,0,2,0,2,2,1,2020-12-16 18:54:56.294832,10.61.189.68
331,15,7,2,1,1,5,2,0,0,1,0,1,2020-12-16 18:54:59.218286,10.61.189.68
332,15,8,1,1,0,5,1,2,0,1,1,1,2020-12-16 18:55:01.841193,10.61.189.68
